strategy,seed,reward,steps,actions,idle_ratio,expired,clear_asm,serve_gap,none_ratio,stockpile_in,stockpile_out,stockpile_max
default,0,3967.3999999999996,901,142,0.662,2,2,4.36,0.842,12,12,3
default,1,4390.200000000001,901,146,0.689,1,1,4.05,0.838,10,10,3
default,2,3268.8,901,123,0.655,1,0,4.82,0.863,10,9,3
default,3,2537.0,901,119,0.601,1,1,4.79,0.868,12,10,3
default,4,3022.4,901,116,0.701,3,0,5.06,0.871,7,5,3
default,5,3432.0,901,102,0.59,0,0,5.28,0.887,7,6,3
default,6,5161.3,901,157,0.58,1,0,3.42,0.826,17,16,3
default,7,3303.8,901,111,0.716,1,0,5.62,0.877,4,4,3
default,8,3174.5000000000005,901,134,0.645,5,1,5.23,0.851,12,12,3
default,9,3837.6,901,124,0.665,0,0,4.23,0.862,11,9,3
default,10,3680.8999999999996,901,121,0.585,0,0,4.66,0.866,6,4,3
default,11,3932.9,901,127,0.602,2,1,4.76,0.859,9,9,3
default,12,3500.5,901,116,0.582,0,2,4.84,0.871,6,5,3
default,13,3773.9,901,129,0.677,1,0,4.27,0.857,6,6,3
default,14,3539.6000000000004,901,126,0.5,0,0,5.44,0.86,12,12,3
default,15,3341.6000000000004,901,143,0.674,0,4,4.4,0.841,15,15,3
default,16,3614.5,901,115,0.705,2,0,5.17,0.872,11,10,3
default,17,3815.8,901,136,0.656,2,2,4.66,0.849,9,9,3
default,18,3527.2,901,132,0.636,4,2,4.85,0.853,11,11,3
default,19,5051.6,901,153,0.59,1,1,4.22,0.83,14,14,3
default,20,3612.7999999999997,901,142,0.667,2,2,4.47,0.842,14,14,3
default,21,4877.400000000001,901,150,0.674,0,1,4.01,0.834,13,13,3
default,22,4664.4,901,163,0.674,2,0,4.01,0.819,14,14,3
default,23,3082.9,901,127,0.648,0,0,4.26,0.859,13,11,3
default,24,3770.2,901,127,0.53,0,0,4.5,0.859,9,8,3
default,25,2508.5999999999995,901,104,0.546,2,0,5.23,0.885,5,4,3
default,26,3870.0,901,131,0.641,1,2,4.81,0.855,8,7,3
default,27,3740.8,901,123,0.62,0,0,4.45,0.863,10,9,3
default,28,3547.5,901,130,0.547,0,1,5.47,0.856,13,13,3
default,29,3424.8,901,117,0.61,3,0,5.27,0.87,8,7,3
default,30,3639.0,901,126,0.626,4,0,5.07,0.86,8,7,3
default,31,3779.0,901,122,0.581,2,0,5.17,0.865,10,9,3
default,32,3527.0,901,139,0.696,0,1,4.06,0.846,15,14,3
default,33,4034.2000000000003,901,126,0.504,2,1,5.24,0.86,12,10,3
default,34,3294.1,901,114,0.617,2,0,4.8,0.873,5,5,3
default,35,4614.5,901,141,0.667,3,0,4.4,0.844,10,8,3
default,36,4080.5,901,143,0.708,3,2,4.08,0.841,16,15,3
default,37,3955.8,901,109,0.57,0,2,6.22,0.879,9,8,3
default,38,3695.3,901,140,0.636,2,1,4.18,0.845,12,12,3
default,39,3330.0,901,121,0.661,0,0,4.68,0.866,8,8,3
default,40,4543.1,901,120,0.664,1,0,4.56,0.867,10,10,3
default,41,3003.8,901,127,0.639,3,2,4.71,0.859,8,7,3
default,42,2827.3,901,125,0.582,1,2,5.36,0.861,11,10,3
default,43,3552.0,901,122,0.683,2,0,4.63,0.865,9,9,3
default,44,3874.2,901,127,0.485,0,0,4.9,0.859,7,6,3
default,45,3886.5,901,122,0.702,3,0,4.18,0.865,12,9,3
default,46,3947.6000000000004,901,123,0.607,0,0,4.0,0.863,10,10,3
default,47,4395.8,901,137,0.602,1,0,4.09,0.848,11,11,3
default,48,3345.3,901,142,0.728,1,0,4.42,0.842,14,14,3
default,49,4385.0,901,156,0.617,2,1,4.29,0.827,17,16,3
cpm,0,4308.3,901,157,0.629,1,2,3.86,0.826,16,15,3
cpm,1,4197.8,901,150,0.708,0,2,4.08,0.834,13,12,3
cpm,2,3228.9,901,126,0.615,1,1,5.07,0.86,11,9,3
cpm,3,3630.2,901,136,0.537,1,2,5.22,0.849,13,13,3
cpm,4,3286.7999999999997,901,125,0.672,3,0,4.86,0.861,7,5,3
cpm,5,3279.8,901,117,0.528,0,3,4.96,0.87,7,6,3
cpm,6,5161.3,901,157,0.58,1,0,3.42,0.826,17,16,3
cpm,7,4239.8,901,139,0.609,2,0,4.9,0.846,12,9,3
cpm,8,3385.8,901,152,0.588,5,1,4.64,0.831,14,11,3
cpm,9,3837.6,901,125,0.642,1,0,4.2,0.861,11,9,3
cpm,10,3935.7,901,136,0.532,0,0,4.12,0.849,10,8,3
cpm,11,5326.6,901,138,0.573,0,4,4.5,0.847,9,9,3
cpm,12,3824.3999999999996,901,118,0.565,0,3,4.81,0.869,6,6,2
cpm,13,3776.8,901,129,0.693,1,0,4.47,0.857,6,6,3
cpm,14,3479.6000000000004,901,127,0.476,0,1,5.36,0.859,10,10,3
cpm,15,3337.1000000000004,901,135,0.672,1,2,4.42,0.85,12,12,3
cpm,16,4225.9,901,143,0.635,0,1,4.26,0.841,15,13,3
cpm,17,3829.3,901,140,0.629,2,2,4.55,0.845,11,9,3
cpm,18,3772.7999999999997,901,134,0.641,2,2,4.49,0.851,9,9,3
cpm,19,4042.7999999999997,901,154,0.587,0,3,4.44,0.829,11,11,3
cpm,20,3798.2,901,141,0.648,1,3,4.5,0.844,12,12,3
cpm,21,4076.8,901,140,0.674,0,2,4.63,0.845,12,12,3
cpm,22,4664.4,901,165,0.669,2,0,3.9,0.817,14,14,3
cpm,23,3645.8,901,133,0.642,0,0,4.13,0.852,14,14,3
cpm,24,3792.2,901,136,0.486,1,0,4.46,0.849,12,10,3
cpm,25,2854.7,901,115,0.495,1,0,4.89,0.872,6,5,3
cpm,26,4137.0,901,137,0.636,1,2,4.54,0.848,8,8,3
cpm,27,3352.1,901,121,0.549,0,2,4.72,0.866,7,6,3
cpm,28,3994.5,901,140,0.526,0,1,5.01,0.845,11,11,3
cpm,29,3574.8,901,128,0.573,2,1,5.13,0.858,11,8,3
cpm,30,4220.9,901,127,0.628,3,0,5.03,0.859,8,8,3
cpm,31,3965.0,901,132,0.53,2,1,5.03,0.853,10,8,3
cpm,32,3659.0,901,143,0.696,0,1,4.02,0.841,15,14,3
cpm,33,4304.4,901,137,0.439,2,3,4.89,0.848,10,9,3
cpm,34,3379.9,901,117,0.587,2,1,5.08,0.87,5,5,3
cpm,35,4420.5,901,148,0.661,3,1,4.25,0.836,10,10,3
cpm,36,4080.5,901,143,0.706,3,2,4.05,0.841,16,15,3
cpm,37,4164.8,901,130,0.466,1,2,5.17,0.856,10,8,3
cpm,38,3773.6000000000004,901,149,0.615,1,1,4.17,0.835,13,11,3
cpm,39,3330.0,901,121,0.661,0,0,4.68,0.866,8,8,3
cpm,40,4723.1,901,128,0.638,1,0,4.22,0.858,12,11,3
cpm,41,4178.8,901,156,0.555,4,5,4.13,0.827,14,12,3
cpm,42,3212.5,901,132,0.536,1,2,4.46,0.853,10,10,3
cpm,43,3254.4,901,118,0.709,1,0,4.38,0.869,8,8,3
cpm,44,3225.2999999999997,901,134,0.455,1,3,4.87,0.851,9,9,3
cpm,45,3570.8,901,107,0.758,1,0,4.54,0.881,6,5,3
cpm,46,4466.6,901,144,0.512,0,1,3.79,0.84,12,11,3
cpm,47,4395.8,901,137,0.602,1,0,4.09,0.848,11,11,3
cpm,48,3345.3,901,143,0.725,1,0,4.35,0.841,14,14,3
cpm,49,4215.1,901,166,0.588,0,3,3.99,0.816,15,15,3
visibility_aware,0,4308.3,901,157,0.629,1,2,3.86,0.826,16,15,3
visibility_aware,1,4780.5,901,167,0.651,1,0,3.53,0.815,17,16,3
visibility_aware,2,3228.9,901,126,0.615,1,1,5.07,0.86,11,9,3
visibility_aware,3,3630.2,901,136,0.537,1,2,5.22,0.849,13,13,3
visibility_aware,4,3572.5,901,147,0.639,3,2,4.33,0.837,12,11,3
visibility_aware,5,3442.8,901,115,0.537,0,3,5.15,0.872,5,4,2
visibility_aware,6,5161.3,901,157,0.58,1,0,3.42,0.826,17,16,3
visibility_aware,7,4239.8,901,139,0.609,2,0,4.9,0.846,12,9,3
visibility_aware,8,3799.3999999999996,901,151,0.594,6,1,4.71,0.832,13,12,3
visibility_aware,9,3837.6,901,125,0.642,1,0,4.2,0.861,11,9,3
visibility_aware,10,3935.7,901,133,0.547,0,0,4.12,0.852,9,8,3
visibility_aware,11,4427.799999999999,901,136,0.577,0,4,4.52,0.849,10,10,3
visibility_aware,12,3599.7,901,122,0.558,0,4,4.75,0.865,6,6,2
visibility_aware,13,3776.8,901,129,0.693,1,0,4.47,0.857,6,6,3
visibility_aware,14,3973.2999999999997,901,134,0.453,0,1,4.72,0.851,10,10,3
visibility_aware,15,3337.1000000000004,901,135,0.672,1,2,4.42,0.85,12,12,3
visibility_aware,16,4225.9,901,143,0.635,0,1,4.26,0.841,15,13,3
visibility_aware,17,3829.3,901,140,0.629,2,2,4.55,0.845,11,9,3
visibility_aware,18,3772.7999999999997,901,134,0.641,2,2,4.49,0.851,9,9,3
visibility_aware,19,5051.6,901,156,0.579,1,2,4.21,0.827,14,14,3
visibility_aware,20,3798.2,901,141,0.648,1,3,4.5,0.844,12,12,3
visibility_aware,21,4076.8,901,140,0.674,0,2,4.63,0.845,12,12,3
visibility_aware,22,4664.4,901,165,0.669,2,0,3.9,0.817,14,14,3
visibility_aware,23,3645.8,901,133,0.642,0,0,4.13,0.852,14,14,3
visibility_aware,24,3792.2,901,136,0.486,1,0,4.46,0.849,12,10,3
visibility_aware,25,2854.7,901,115,0.495,1,0,4.89,0.872,6,5,3
visibility_aware,26,4137.0,901,137,0.636,1,2,4.54,0.848,8,8,3
visibility_aware,27,3493.0,901,116,0.586,0,1,4.85,0.871,8,7,3
visibility_aware,28,3994.5,901,140,0.526,0,1,5.01,0.845,11,11,3
visibility_aware,29,3574.8,901,128,0.573,2,1,5.13,0.858,11,8,3
visibility_aware,30,4220.9,901,127,0.628,3,0,5.03,0.859,8,8,3
visibility_aware,31,3965.0,901,132,0.53,2,1,5.03,0.853,10,8,3
visibility_aware,32,3659.0,901,143,0.696,0,1,4.02,0.841,15,14,3
visibility_aware,33,4304.4,901,137,0.439,2,3,4.89,0.848,10,9,3
visibility_aware,34,3379.9,901,117,0.587,2,1,5.08,0.87,5,5,3
visibility_aware,35,4420.5,901,148,0.661,3,1,4.25,0.836,10,10,3
visibility_aware,36,4080.5,901,143,0.706,3,2,4.05,0.841,16,15,3
visibility_aware,37,4164.8,901,130,0.466,1,2,5.17,0.856,10,8,3
visibility_aware,38,3773.6000000000004,901,149,0.615,1,1,4.17,0.835,13,11,3
visibility_aware,39,3330.0,901,121,0.661,0,0,4.68,0.866,8,8,3
visibility_aware,40,4723.1,901,128,0.638,1,0,4.22,0.858,12,11,3
visibility_aware,41,4178.8,901,156,0.555,4,5,4.13,0.827,14,12,3
visibility_aware,42,3212.5,901,132,0.536,1,2,4.46,0.853,10,10,3
visibility_aware,43,3254.4,901,118,0.709,1,0,4.38,0.869,8,8,3
visibility_aware,44,3225.2999999999997,901,134,0.455,1,3,4.87,0.851,9,9,3
visibility_aware,45,3570.8,901,107,0.758,1,0,4.54,0.881,6,5,3
visibility_aware,46,4379.6,901,140,0.534,0,1,3.64,0.845,11,11,3
visibility_aware,47,4395.8,901,137,0.602,1,0,4.09,0.848,11,11,3
visibility_aware,48,3345.3,901,143,0.725,1,0,4.35,0.841,14,14,3
visibility_aware,49,4215.1,901,166,0.588,0,3,3.99,0.816,15,15,3
preempt_score,0,4308.3,901,157,0.629,1,2,3.86,0.826,16,15,3
preempt_score,1,4352.3,901,157,0.687,0,2,3.77,0.826,13,13,3
preempt_score,2,3302.4,901,129,0.622,1,3,4.99,0.857,9,8,3
preempt_score,3,4147.700000000001,901,146,0.536,0,2,4.61,0.838,12,12,3
preempt_score,4,3286.7999999999993,901,125,0.672,3,0,4.86,0.861,7,5,3
preempt_score,5,3371.4000000000005,901,116,0.549,0,3,5.15,0.871,7,7,3
preempt_score,6,5161.3,901,160,0.579,1,1,3.49,0.822,17,16,3
preempt_score,7,4683.0,901,149,0.579,3,3,4.89,0.835,13,11,3
preempt_score,8,3264.3,901,152,0.602,6,2,4.69,0.831,12,12,3
preempt_score,9,3837.6,901,132,0.639,0,2,4.25,0.853,13,11,3
preempt_score,10,3935.7,901,136,0.532,0,0,4.12,0.849,10,8,3
preempt_score,11,4438.0,901,154,0.535,0,11,4.52,0.829,10,10,3
preempt_score,12,3419.7,901,125,0.533,0,6,4.97,0.861,6,6,2
preempt_score,13,3557.8,901,128,0.696,1,2,4.64,0.858,6,6,3
preempt_score,14,3436.1000000000004,901,132,0.466,0,1,5.17,0.853,9,9,3
preempt_score,15,3475.8,901,145,0.642,2,3,4.21,0.839,12,12,3
preempt_score,16,3826.2,901,143,0.622,0,4,4.59,0.841,12,10,3
preempt_score,17,3277.8,901,152,0.606,2,8,4.79,0.831,10,10,3
preempt_score,18,3505.7999999999997,901,144,0.602,1,7,4.79,0.84,10,10,3
preempt_score,19,3792.2999999999997,901,155,0.572,0,5,4.42,0.828,12,12,3
preempt_score,20,3798.2,901,147,0.629,1,5,4.55,0.837,12,12,3
preempt_score,21,4279.3,901,150,0.656,0,4,4.39,0.834,12,12,3
preempt_score,22,4790.2,901,166,0.655,1,3,4.18,0.816,15,14,3
preempt_score,23,3645.8,901,133,0.642,0,0,4.13,0.852,14,14,3
preempt_score,24,3600.0,901,135,0.461,1,3,4.98,0.85,14,12,3
preempt_score,25,2854.7,901,116,0.483,1,1,4.96,0.871,6,5,3
preempt_score,26,3735.0,901,144,0.592,1,7,4.96,0.84,8,5,3
preempt_score,27,3352.1,901,124,0.543,0,3,4.79,0.862,8,7,3
preempt_score,28,3994.5,901,140,0.526,0,1,5.01,0.845,11,11,3
preempt_score,29,3726.1000000000004,901,136,0.551,2,5,5.21,0.849,9,7,3
preempt_score,30,4220.9,901,127,0.628,3,0,5.03,0.859,8,8,3
preempt_score,31,3965.0,901,135,0.523,2,2,5.02,0.85,10,8,3
preempt_score,32,3659.0,901,143,0.696,0,1,4.02,0.841,15,14,3
preempt_score,33,4304.4,901,137,0.439,2,3,4.89,0.848,10,9,3
preempt_score,34,3379.9,901,120,0.582,2,2,5.16,0.867,5,5,3
preempt_score,35,4420.5,901,148,0.655,3,2,4.36,0.836,10,10,3
preempt_score,36,4080.5,901,143,0.706,3,2,4.05,0.841,16,15,3
preempt_score,37,4008.6,901,130,0.48,1,4,5.12,0.856,9,8,3
preempt_score,38,3386.6000000000004,901,159,0.584,1,7,4.55,0.824,15,15,3
preempt_score,39,3175.5,901,125,0.63,0,2,4.72,0.861,9,8,3
preempt_score,40,4073.7999999999997,901,126,0.598,1,3,5.09,0.86,10,8,3
preempt_score,41,3299.0,901,139,0.622,3,6,5.21,0.846,9,8,3
preempt_score,42,3212.5,901,143,0.504,1,6,4.64,0.841,11,11,3
preempt_score,43,3254.4,901,118,0.709,1,0,4.38,0.869,8,8,3
