strategy,seed,reward,steps,actions,idle_ratio,expired,clear_asm,serve_gap,none_ratio,stockpile_in,stockpile_out,stockpile_max
cpm_enhanced,0,5186.200000000001,901,177,0.591,1,2,3.34,0.804,18,18,5
cpm_enhanced,1,3968.1000000000004,901,154,0.66,5,2,4.25,0.829,13,12,6
cpm_enhanced,2,3148.5,901,127,0.596,2,1,4.97,0.859,12,9,5
cpm_enhanced,3,2968.6000000000004,901,133,0.561,2,2,4.71,0.852,12,11,5
cpm_enhanced,4,4235.1,901,154,0.626,4,0,3.94,0.829,13,13,6
cpm_enhanced,5,3385.7000000000003,901,112,0.523,0,1,5.26,0.876,9,7,5
cpm_enhanced,6,4770.9,901,155,0.606,2,0,3.61,0.828,18,17,5
cpm_enhanced,7,2757.2000000000003,901,118,0.666,2,0,5.71,0.869,6,2,5
cpm_enhanced,8,3587.8999999999996,901,156,0.539,8,3,4.71,0.827,10,9,5
cpm_enhanced,9,4001.3,901,132,0.636,0,0,4.05,0.853,13,9,6
cpm_enhanced,10,3794.7,901,127,0.574,1,2,4.84,0.859,14,12,6
cpm_enhanced,11,3951.7999999999997,901,140,0.556,1,5,4.54,0.845,13,11,5
cpm_enhanced,12,3419.7,901,120,0.558,0,4,4.91,0.867,6,6,4
cpm_enhanced,13,3772.7000000000003,901,140,0.667,0,0,4.14,0.845,10,9,6
cpm_enhanced,14,4033.2999999999997,901,136,0.441,0,2,4.91,0.849,11,11,5
cpm_enhanced,15,3337.5,901,140,0.667,5,0,4.1,0.845,15,15,5
cpm_enhanced,16,4039.2,901,158,0.57,2,3,4.37,0.825,15,11,5
cpm_enhanced,17,3958.8999999999996,901,155,0.598,2,3,4.25,0.828,17,16,6
cpm_enhanced,18,3885.4,901,141,0.615,3,2,4.17,0.844,11,11,5
cpm_enhanced,19,4153.4,901,150,0.581,2,4,4.61,0.834,12,12,6
cpm_enhanced,20,3816.0,901,151,0.635,2,4,4.38,0.832,17,16,6
cpm_enhanced,21,5334.299999999999,901,173,0.583,2,4,3.96,0.808,18,17,5
cpm_enhanced,22,4412.8,901,170,0.631,8,0,4.16,0.811,19,18,5
