strategy,seed,reward,steps,actions,idle_ratio,expired,clear_asm,serve_gap,none_ratio,stockpile_in,stockpile_out,stockpile_max
cpm_enhanced,0,4308.3,901,157,0.629,1,2,3.86,0.826,16,15,3
cpm_enhanced,1,4780.5,901,169,0.654,1,1,3.6,0.812,16,15,3
cpm_enhanced,2,3228.9,901,126,0.615,1,1,5.07,0.86,11,9,3
cpm_enhanced,3,3630.2,901,136,0.537,1,2,5.22,0.849,13,13,3
cpm_enhanced,4,3572.5,901,147,0.639,3,2,4.33,0.837,12,11,3
cpm_enhanced,5,3442.8,901,115,0.537,0,3,5.15,0.872,5,4,2
cpm_enhanced,6,5161.3,901,157,0.58,1,0,3.42,0.826,17,16,3
cpm_enhanced,7,4239.8,901,139,0.609,2,0,4.9,0.846,12,9,3
cpm_enhanced,8,3799.3999999999996,901,151,0.594,6,1,4.71,0.832,13,12,3
cpm_enhanced,9,3837.6,901,125,0.642,1,0,4.2,0.861,11,9,3
cpm_enhanced,10,3935.7,901,133,0.547,0,0,4.12,0.852,9,8,3
cpm_enhanced,11,5326.6,901,138,0.573,0,4,4.5,0.847,9,9,3
cpm_enhanced,12,3599.7,901,122,0.558,0,4,4.75,0.865,6,6,2
cpm_enhanced,13,3776.8,901,129,0.693,1,0,4.47,0.857,6,6,3
cpm_enhanced,14,3973.2999999999997,901,134,0.453,0,1,4.72,0.851,10,10,3
cpm_enhanced,15,3337.1000000000004,901,135,0.672,1,2,4.42,0.85,12,12,3
cpm_enhanced,16,4225.9,901,143,0.635,0,1,4.26,0.841,15,13,3
cpm_enhanced,17,3829.3,901,140,0.629,2,2,4.55,0.845,11,9,3
cpm_enhanced,18,3772.7999999999997,901,134,0.641,2,2,4.49,0.851,9,9,3
cpm_enhanced,19,5051.6,901,156,0.579,1,2,4.21,0.827,14,14,3
cpm_enhanced,20,3798.2,901,141,0.648,1,3,4.5,0.844,12,12,3
cpm_enhanced,21,4076.8,901,140,0.674,0,2,4.63,0.845,12,12,3
cpm_enhanced,22,4664.4,901,165,0.669,2,0,3.9,0.817,14,14,3
cpm_enhanced,23,3645.8,901,133,0.642,0,0,4.13,0.852,14,14,3
cpm_enhanced,24,3792.2,901,136,0.486,1,0,4.46,0.849,12,10,3
cpm_enhanced,25,2854.7,901,115,0.495,1,0,4.89,0.872,6,5,3
cpm_enhanced,26,4137.0,901,137,0.636,1,2,4.54,0.848,8,8,3
cpm_enhanced,27,3352.1,901,121,0.549,0,2,4.72,0.866,7,6,3
cpm_enhanced,28,3994.5,901,140,0.526,0,1,5.01,0.845,11,11,3
cpm_enhanced,29,3574.8,901,128,0.573,2,1,5.13,0.858,11,8,3
cpm_enhanced,30,4220.9,901,127,0.628,3,0,5.03,0.859,8,8,3
cpm_enhanced,31,3965.0,901,132,0.53,2,1,5.03,0.853,10,8,3
cpm_enhanced,32,3659.0,901,143,0.696,0,1,4.02,0.841,15,14,3
cpm_enhanced,33,4304.4,901,137,0.439,2,3,4.89,0.848,10,9,3
cpm_enhanced,34,3379.9,901,117,0.587,2,1,5.08,0.87,5,5,3
cpm_enhanced,35,4420.5,901,148,0.66,3,2,4.34,0.836,10,10,3
cpm_enhanced,36,4080.5,901,143,0.706,3,2,4.05,0.841,16,15,3
cpm_enhanced,37,4164.8,901,130,0.466,1,2,5.17,0.856,10,8,3
cpm_enhanced,38,3773.6000000000004,901,149,0.615,1,1,4.17,0.835,13,11,3
cpm_enhanced,39,3330.0,901,121,0.661,0,0,4.68,0.866,8,8,3
cpm_enhanced,40,4723.1,901,128,0.638,1,0,4.22,0.858,12,11,3
cpm_enhanced,41,4178.8,901,156,0.555,4,5,4.13,0.827,14,12,3
cpm_enhanced,42,3212.5,901,132,0.536,1,2,4.46,0.853,10,10,3
cpm_enhanced,43,3254.4,901,118,0.709,1,0,4.38,0.869,8,8,3
cpm_enhanced,44,3225.2999999999997,901,135,0.44,2,3,4.87,0.85,9,9,3
cpm_enhanced,45,3570.8,901,107,0.758,1,0,4.54,0.881,6,5,3
cpm_enhanced,46,4715.6,901,144,0.508,1,2,3.72,0.84,10,10,3
cpm_enhanced,47,4395.8,901,137,0.602,1,0,4.09,0.848,11,11,3
cpm_enhanced,48,3345.3,901,145,0.723,1,1,4.43,0.839,14,14,3
cpm_enhanced,49,4215.1,901,166,0.588,0,3,3.99,0.816,15,15,3
cpm_enhanced,50,2852.3,901,112,0.545,0,3,5.36,0.876,8,7,3
cpm_enhanced,51,3233.4,901,127,0.484,1,4,5.57,0.859,7,7,3
cpm_enhanced,52,3987.8,901,117,0.429,0,0,3.97,0.87,8,6,3
cpm_enhanced,53,4163.7,901,143,0.591,1,2,3.95,0.841,13,11,3
cpm_enhanced,54,3734.8,901,130,0.612,1,0,4.55,0.856,13,11,3
cpm_enhanced,55,3373.5999999999995,901,131,0.711,1,0,4.01,0.855,10,9,3
cpm_enhanced,56,4859.0,901,152,0.591,1,1,4.11,0.831,12,12,3
cpm_enhanced,57,4215.299999999999,901,133,0.439,0,4,5.27,0.852,9,9,3
cpm_enhanced,58,4619.199999999999,901,144,0.577,3,1,4.27,0.84,13,13,3
cpm_enhanced,59,4666.6,901,156,0.628,1,1,3.93,0.827,11,11,3
cpm_enhanced,60,4466.3,901,142,0.624,3,0,3.92,0.842,9,7,3
cpm_enhanced,61,3210.2,901,121,0.691,0,0,4.56,0.866,10,10,3
cpm_enhanced,62,4002.0,901,157,0.634,2,4,4.38,0.826,16,16,3
cpm_enhanced,63,3341.3999999999996,901,119,0.538,0,0,3.94,0.868,12,11,3
cpm_enhanced,64,3699.9999999999995,901,124,0.325,0,0,4.93,0.862,10,9,3
cpm_enhanced,65,3439.2999999999997,901,133,0.702,2,1,4.36,0.852,9,9,3
cpm_enhanced,66,3508.8999999999996,901,134,0.723,2,1,4.43,0.851,9,8,3
cpm_enhanced,67,3983.1000000000004,901,139,0.671,2,1,3.99,0.846,14,13,3
cpm_enhanced,68,5355.200000000001,901,149,0.579,0,3,4.3,0.835,13,13,3
cpm_enhanced,69,3640.6,901,132,0.636,2,2,4.79,0.853,11,10,3
cpm_enhanced,70,4185.8,901,141,0.658,4,0,4.08,0.844,12,9,3
cpm_enhanced,71,3797.2,901,139,0.565,3,3,5.33,0.846,11,9,3
cpm_enhanced,72,4049.2999999999997,901,138,0.549,3,3,5.69,0.847,10,9,3
cpm_enhanced,73,3085.2,901,117,0.6,0,0,5.13,0.87,10,8,3
cpm_enhanced,74,3500.2999999999997,901,120,0.531,0,1,5.34,0.867,9,9,3
cpm_enhanced,75,4501.9,901,131,0.586,2,1,4.34,0.855,12,11,3
cpm_enhanced,76,4936.7,901,146,0.607,0,0,3.84,0.838,13,13,3
cpm_enhanced,77,2979.7000000000003,901,124,0.659,1,1,5.0,0.862,12,9,3
cpm_enhanced,78,4142.5,901,157,0.552,0,0,3.58,0.826,17,17,3
cpm_enhanced,79,4774.8,901,150,0.653,1,0,4.03,0.834,15,15,3
cpm_enhanced,80,3441.6000000000004,901,142,0.581,2,2,4.51,0.842,13,12,3
cpm_enhanced,81,4338.5,901,164,0.53,1,7,4.08,0.818,17,15,3
cpm_enhanced,82,4384.0,901,169,0.685,1,1,3.39,0.812,17,15,3
cpm_enhanced,83,4344.0,901,143,0.718,1,2,4.02,0.841,13,12,3
cpm_enhanced,84,4146.0,901,138,0.742,1,1,3.94,0.847,13,13,3
cpm_enhanced,85,4581.2,901,142,0.46,0,6,5.32,0.842,10,10,3
cpm_enhanced,86,2957.8,901,115,0.722,2,0,4.96,0.872,9,9,3
cpm_enhanced,87,4579.700000000001,901,145,0.626,2,0,4.35,0.839,10,10,3
cpm_enhanced,88,3720.4000000000005,901,141,0.645,2,0,4.35,0.844,11,10,3
cpm_enhanced,89,4208.9,901,158,0.653,1,2,3.85,0.825,14,12,3
cpm_enhanced,90,3680.0,901,123,0.464,0,0,4.2,0.863,12,11,3
cpm_enhanced,91,4845.4,901,159,0.557,1,2,3.98,0.824,17,17,3
cpm_enhanced,92,4377.1,901,131,0.461,1,0,4.9,0.855,8,7,3
cpm_enhanced,93,3639.9,901,117,0.557,1,0,4.76,0.87,9,9,3
cpm_enhanced,94,3478.9,901,133,0.465,2,2,4.75,0.852,8,6,3
cpm_enhanced,95,3376.8,901,135,0.449,3,3,4.46,0.85,10,8,3
cpm_enhanced,96,3049.7999999999997,901,129,0.624,3,5,6.5,0.857,12,11,3
cpm_enhanced,97,3672.8,901,140,0.682,3,0,4.12,0.845,11,11,3
cpm_enhanced,98,3855.5,901,128,0.52,0,2,4.88,0.858,10,10,3
cpm_enhanced,99,3522.2,901,128,0.65,1,0,4.76,0.858,8,7,3
visibility_aware,0,4308.3,901,157,0.629,1,2,3.86,0.826,16,15,3
visibility_aware,1,4780.5,901,169,0.654,1,1,3.6,0.812,16,15,3
visibility_aware,2,3228.9,901,126,0.615,1,1,5.07,0.86,11,9,3
visibility_aware,3,3630.2,901,136,0.537,1,2,5.22,0.849,13,13,3
visibility_aware,4,3572.5,901,147,0.639,3,2,4.33,0.837,12,11,3
