strategy,seed,reward,steps,actions,idle_ratio,expired,clear_asm,serve_gap,none_ratio,stockpile_in,stockpile_out,stockpile_max
default,0,5399.200000000001,901,124,0.669,0,2,5.22,0.862,9,8,3
default,1,3959.2999999999997,901,109,0.701,1,0,5.65,0.879,7,6,3
default,2,4037.8,901,118,0.663,3,1,5.74,0.869,8,5,3
default,3,4350.5,901,109,0.486,1,0,4.92,0.879,8,8,3
default,4,6010.6,901,139,0.662,1,4,4.72,0.846,14,13,3
default,5,4951.5,901,115,0.661,2,0,5.51,0.872,7,7,3
default,6,6040.6,901,108,0.749,1,0,5.88,0.88,6,6,3
default,7,6802.200000000001,901,154,0.673,2,5,4.59,0.829,16,14,3
default,8,4596.9,901,125,0.612,1,3,4.69,0.861,10,10,3
default,9,5522.5,901,111,0.676,0,0,5.78,0.877,8,6,3
default,10,5576.4,901,117,0.616,1,1,5.31,0.87,10,10,3
default,11,5875.200000000001,901,109,0.428,0,0,5.95,0.879,8,8,3
default,12,5274.700000000001,901,118,0.68,1,4,6.74,0.869,8,8,3
default,13,4648.800000000001,901,134,0.576,0,6,5.94,0.851,14,12,3
default,14,4832.6,901,99,0.526,0,0,6.18,0.89,5,4,2
default,15,4168.2,901,130,0.708,0,1,4.87,0.856,11,11,3
default,16,6539.200000000001,901,107,0.569,0,0,6.02,0.881,6,4,2
default,17,6976.8,901,130,0.606,1,1,5.28,0.856,10,9,3
default,18,6766.5,901,171,0.601,0,8,4.83,0.81,20,20,3
default,19,4882.799999999999,901,124,0.736,3,2,5.4,0.862,8,8,3
default,20,4906.5,901,127,0.664,2,2,4.91,0.859,13,12,3
default,21,4998.2,901,125,0.669,0,0,5.33,0.861,12,12,3
default,22,5412.2,901,123,0.627,1,0,4.07,0.863,11,11,3
default,23,4790.6,901,116,0.602,0,0,4.91,0.871,9,9,3
default,24,5533.2,901,134,0.688,2,3,5.4,0.851,12,9,3
default,25,4695.9,901,126,0.73,3,1,5.37,0.86,8,8,3
default,26,7414.7,901,175,0.648,0,8,4.57,0.806,19,18,3
default,27,6208.9,901,141,0.581,2,7,5.72,0.844,14,11,3
default,28,4477.3,901,104,0.66,0,0,5.47,0.885,5,5,3
default,29,5810.9,901,130,0.712,1,0,5.37,0.856,11,11,3
default,30,5390.0,901,107,0.624,0,0,5.31,0.881,9,9,3
default,31,5893.6,901,151,0.731,5,1,4.82,0.832,14,13,3
default,32,4065.0,901,140,0.694,1,0,4.29,0.845,12,12,3
default,33,7217.6,901,144,0.675,1,1,4.49,0.84,15,15,3
default,34,5246.6,901,110,0.623,1,0,5.64,0.878,8,7,3
