strategy,seed,reward,steps,actions,idle_ratio,expired,clear_asm,serve_gap,none_ratio,stockpile_in,stockpile_out,stockpile_max
cpm,0,5388.7,583,106,0.686,1,1,6.27,0.818,9,8,3
cpm,1,2364.5,613,96,0.711,0,1,6.28,0.843,3,3,3
cpm,2,3014.2000000000003,604,99,0.693,2,0,6.82,0.836,7,4,3
cpm,3,3124.3,622,93,0.541,0,0,5.39,0.85,7,6,3
cpm,4,4907.6,553,116,0.698,2,3,5.07,0.79,9,9,3
cpm,5,4903.2,532,124,0.626,0,0,5.64,0.767,11,8,3
cpm,6,5702.3,591,104,0.753,0,0,6.04,0.824,4,4,3
cpm,7,4762.6,527,125,0.708,1,3,5.31,0.763,10,10,3
cpm,8,3622.8,574,109,0.65,0,2,5.21,0.81,10,9,3
cpm,9,5967.1,571,110,0.676,0,1,6.42,0.807,9,7,3
cpm,10,5733.6,625,92,0.639,0,0,7.1,0.853,6,5,3
cpm,11,6915.6,619,95,0.447,0,0,7.04,0.847,6,4,3
cpm,12,5249.9,518,128,0.607,0,4,5.98,0.753,9,9,3
cpm,13,4379.5,577,108,0.61,0,0,5.53,0.813,7,4,3
cpm,14,4037.8,625,92,0.533,0,0,6.62,0.853,6,5,2
cpm,15,4667.4,529,124,0.672,1,0,5.47,0.766,10,8,3
cpm,16,6231.0,581,107,0.548,0,1,6.62,0.816,10,8,3
cpm,17,5818.6,541,120,0.602,0,1,5.45,0.778,9,9,3
cpm,18,4121.6,529,124,0.684,1,3,5.72,0.766,12,11,3
cpm,19,4213.0,512,130,0.739,1,1,5.2,0.746,10,9,3
cpm,20,4687.5,604,99,0.705,1,1,5.82,0.836,9,7,3
cpm,21,3977.0,565,112,0.641,0,0,6.0,0.802,8,7,3
cpm,22,5368.2,574,109,0.627,0,0,4.93,0.81,11,9,3
cpm,23,4604.0,573,110,0.59,0,1,5.92,0.808,9,9,3
cpm,24,5330.700000000001,536,122,0.66,1,2,6.05,0.772,8,5,3
cpm,25,3697.4000000000005,533,123,0.687,2,1,5.87,0.769,8,6,3
cpm,26,6054.2,520,128,0.725,0,5,6.26,0.754,12,12,3
cpm,27,4469.1,546,119,0.606,0,4,6.57,0.782,10,8,3
cpm,28,4453.299999999999,625,92,0.657,0,0,6.09,0.853,5,3,3
cpm,29,4382.0,565,112,0.703,1,1,6.07,0.802,10,8,3
cpm,30,4107.4,586,105,0.577,0,2,6.39,0.821,7,6,3
cpm,31,4183.4,517,129,0.741,1,1,5.56,0.75,14,12,3
cpm,32,3530.8,526,125,0.694,2,0,5.19,0.762,11,11,3
cpm,33,5830.799999999999,538,121,0.665,1,0,5.3,0.775,10,10,3
cpm,34,5291.0,578,108,0.63,0,0,5.69,0.813,7,7,3
cpm,35,5071.5,586,105,0.625,1,1,5.76,0.821,8,7,3
cpm,36,3443.0,547,118,0.643,1,2,5.35,0.784,11,11,3
cpm,37,5705.0,539,121,0.633,0,2,5.59,0.776,8,8,3
cpm,38,4190.0,601,100,0.492,0,1,6.04,0.834,4,4,1
cpm,39,3783.2,556,115,0.696,0,2,5.27,0.793,9,8,3
cpm,40,5789.4,596,102,0.612,0,1,6.12,0.829,5,5,3
cpm,41,3972.0,568,111,0.595,1,3,6.0,0.805,8,8,3
cpm,42,3512.6000000000004,556,115,0.723,1,0,5.71,0.793,10,9,3
cpm,43,3714.5,590,104,0.726,0,0,5.23,0.824,8,6,3
cpm,44,5362.4,585,106,0.699,0,1,6.46,0.819,9,7,3
cpm,45,3917.8,565,113,0.624,0,2,6.15,0.8,7,7,3
cpm,46,4578.6,507,132,0.724,3,1,4.87,0.74,9,8,3
cpm,47,5293.200000000001,584,106,0.696,1,0,6.47,0.818,7,4,3
cpm,48,3826.6000000000004,586,105,0.57,0,1,6.16,0.821,8,7,3
cpm,49,3482.6,514,129,0.717,2,3,5.24,0.749,8,8,3
delay_aware_v2,0,5388.7,586,105,0.698,0,1,6.23,0.821,9,8,3
delay_aware_v2,1,2393.0,601,100,0.608,4,2,6.34,0.834,3,1,3
delay_aware_v2,2,3706.4,575,109,0.631,6,0,6.37,0.81,7,5,3
delay_aware_v2,3,3428.8,610,97,0.509,1,0,5.71,0.841,8,7,3
delay_aware_v2,4,4907.6,544,119,0.69,2,3,5.07,0.781,10,10,3
delay_aware_v2,5,6419.1,541,120,0.622,2,0,5.42,0.778,9,8,3
