strategy,seed,reward,steps,actions,idle_ratio,expired,clear_asm,serve_gap,none_ratio,stockpile_in,stockpile_out,stockpile_max
default,0,4210.400000000001,598,101,0.698,1,1,6.4,0.831,9,8,3
default,1,2324.2000000000003,634,89,0.756,1,1,6.55,0.86,6,6,3
default,2,3058.2000000000003,607,98,0.707,2,1,6.3,0.839,5,5,3
default,3,3248.8,625,93,0.54,0,0,5.5,0.851,7,7,3
default,4,4981.200000000001,547,118,0.694,1,3,5.07,0.784,11,11,3
default,5,4232.7,574,109,0.655,1,0,5.98,0.81,11,8,3
default,6,4702.8,649,84,0.791,0,0,7.62,0.871,4,4,3
default,7,4979.1,523,126,0.693,0,2,5.69,0.759,11,8,3
default,8,4335.2,593,103,0.654,0,1,4.92,0.826,8,8,3
default,9,3881.1,649,84,0.709,2,0,8.5,0.871,7,4,3
default,10,4387.200000000001,667,78,0.703,0,0,7.47,0.883,4,4,3
default,11,4712.4,655,82,0.511,0,1,8.51,0.875,6,4,2
default,12,4549.0,568,111,0.655,0,2,6.52,0.805,9,8,3
default,13,3139.7999999999997,654,83,0.686,2,1,7.69,0.873,4,4,3
default,14,3407.4,661,80,0.577,0,0,7.4,0.879,5,4,2
default,15,4682.4,547,118,0.706,1,0,5.9,0.784,13,11,3
default,16,3913.8,637,88,0.637,0,1,7.47,0.862,6,6,3
default,17,5298.4,592,103,0.653,1,0,6.57,0.826,6,6,3
default,18,5137.1,541,120,0.7,0,3,6.1,0.778,11,11,3
default,19,4606.0,514,129,0.727,1,1,5.33,0.749,10,9,3
default,20,3617.1000000000004,610,97,0.71,1,1,5.85,0.841,6,4,3
default,21,3878.2000000000003,631,91,0.659,2,0,8.18,0.856,8,5,3
default,22,5368.2,583,106,0.631,0,0,4.92,0.818,11,9,3
default,23,3153.4,616,95,0.619,1,1,6.34,0.846,7,6,3
default,24,3767.8,559,115,0.711,1,2,6.56,0.794,11,10,3
default,25,4083.5,564,113,0.724,0,1,6.4,0.8,9,8,3
default,26,5242.200000000001,532,123,0.718,0,6,6.82,0.769,14,12,3
default,27,4661.1,560,114,0.631,0,3,6.58,0.796,9,8,3
default,28,4155.9,631,90,0.692,0,0,6.27,0.857,4,4,3
default,29,4122.3,607,98,0.75,0,1,7.17,0.839,7,5,3
default,30,3339.0000000000005,649,84,0.65,0,0,6.98,0.871,7,4,3
default,31,3734.6000000000004,574,109,0.77,0,0,6.42,0.81,9,7,3
default,32,2564.8,562,113,0.716,3,1,5.48,0.799,8,7,3
default,33,4801.0,583,106,0.733,0,0,5.82,0.818,9,9,3
default,34,4156.0,643,86,0.683,0,1,7.3,0.866,5,5,3
default,35,3847.5000000000005,594,103,0.636,0,1,5.81,0.827,9,7,3
default,36,3596.3999999999996,577,108,0.696,0,1,5.25,0.813,9,9,3
default,37,4847.0,573,110,0.673,0,2,6.05,0.808,9,8,3
default,38,3374.0000000000005,643,86,0.551,0,2,7.86,0.866,5,4,1
default,39,3627.3,617,95,0.72,0,1,6.96,0.846,6,6,3
default,40,5058.599999999999,634,90,0.654,0,2,7.92,0.858,6,5,2
default,41,2259.2,604,100,0.639,0,3,6.76,0.834,6,6,3
default,42,3487.5,556,115,0.727,0,0,5.69,0.793,12,12,3
default,43,3064.3,630,91,0.768,0,0,6.2,0.856,6,3,3
default,44,4719.799999999999,631,90,0.749,0,2,8.6,0.857,7,5,3
default,45,4512.799999999999,610,97,0.674,1,0,6.65,0.841,8,7,3
default,46,4119.6,526,125,0.737,2,1,4.78,0.762,8,8,3
default,47,3916.2,673,76,0.79,0,0,8.36,0.887,3,2,3
default,48,3659.8,607,98,0.631,0,0,6.37,0.839,9,7,3
default,49,3142.2,533,123,0.745,0,1,5.45,0.769,7,6,3
cpm,0,5388.7,583,106,0.686,1,1,6.27,0.818,9,8,3
cpm,1,2364.5,613,96,0.711,0,1,6.28,0.843,3,3,3
cpm,2,3014.2000000000003,604,99,0.693,2,0,6.82,0.836,7,4,3
cpm,3,3124.3,622,93,0.541,0,0,5.39,0.85,7,6,3
cpm,4,4907.6,553,116,0.698,2,3,5.07,0.79,9,9,3
cpm,5,4903.2,532,124,0.626,0,0,5.64,0.767,11,8,3
cpm,6,5702.3,591,104,0.753,0,0,6.04,0.824,4,4,3
cpm,7,4762.6,527,125,0.698,2,3,5.31,0.763,9,9,3
cpm,8,3622.8,574,109,0.65,0,2,5.21,0.81,10,9,3
cpm,9,5967.1,571,110,0.676,0,1,6.42,0.807,9,7,3
cpm,10,5733.6,625,92,0.639,0,0,7.1,0.853,6,5,3
cpm,11,6915.6,619,95,0.447,0,0,7.04,0.847,6,4,3
cpm,12,5249.9,518,128,0.607,0,4,5.98,0.753,9,9,3
cpm,13,4379.5,577,108,0.61,0,0,5.53,0.813,7,4,3
cpm,14,4037.8,625,92,0.533,0,0,6.62,0.853,6,5,2
